TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	3015	15564319	CASHUMI BOERDERY	HL 	11	82089	24	11	0		1	6	261	261	AVOS	TR040	MA	1	*	18	*		 	3015	AVOS,TR040,MA,CL 1,*,18,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	4142	15564324	CASHUMI BOERDERY	HL 	13	82089	24	13	0		1	6	261	261	AVOS	BG160	MAH	1	M	*	*		 	4142	AVOS,BG160,MAH,CL 1,M,*,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	3754	15564323	CASHUMI BOERDERY	HL 	44	82089	24	44	0		1	6	261	261	AVOS	TR040	MA	1	*	20	*		 	3754	AVOS,TR040,MA,CL 1,*,20,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	2888	15564313	CASHUMI BOERDERY	HL 	24	82089	24	24	0		1	6	261	261	AVOS	TR040	MA	1	*	16	*		 	2888	AVOS,TR040,MA,CL 1,*,16,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	1308	15564294	CASHUMI BOERDERY	HL 	7	82089	24	7	0		1	6	261	261	AVOS	TR040	MA	1	*	14	*		 	1308	AVOS,TR040,MA,CL 1,*,14,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	3330	15564293	CASHUMI BOERDERY	HL 	25	82089	24	25	0		1	6	261	261	AVOS	TR040	MA	1	*	12	*		 	3330	AVOS,TR040,MA,CL 1,*,12,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			28-JUL-26	28-JUL-26	6885	15556364	CASHUMI BOERDERY	HL 	44	82089	24	44	0		1	6	261	261	COAL	PC050	BRK	0	*	*	*		 	6885	COAL,PC050,BRK,*,*,*,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			11-JUL-26	11-JUL-26	750	15529639	CASHUMI BOERDERY	HL 	720	82089	24	720	0		1	6	261	261	GFT	PC030	SZ	2	S	*	*		 	750	GFT,PC030,SZ,CL 2,S,*,*	23
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	8812	15565701	CONLINK TRUST	HL 	119	82089	24	119	0		1	6	261	261	AVOS	TR040	AH	1	*	12	*		 	8812	AVOS,TR040,AH,CL 1,*,12,*	2
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			31-JUL-26	31-JUL-26	8815	15565708	CONLINK TRUST	HL 	256	82089	24	256	0		1	6	261	261	AVOS	BG160	AH	2	M	*	*		 	8815	AVOS,BG160,AH,CL 2,M,*,*	2
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			13-JUL-26	13-JUL-26	7260	15528991	ENDULINI FRUIT (P	HL 	158	82089	24	158	0		1	6	261	261	LEMS	CTT150	*	12	*	88	*		 	7260	LEMS,CTT150,*,LOWEST CLASS,*,88,*	21
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			08-JUL-26	08-JUL-26	5292	15523848	ENDULINI FRUIT (P	HL 	83	82089	24	83	0		1	6	261	261	LEMS	CTT150	*	12	*	56	*		 	5292	LEMS,CTT150,*,LOWEST CLASS,*,56,*	25
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			19-JUN-26	19-JUN-26	2194	15491917	ENDULINI FRUIT (P	HL 	219	82089	24	219	0		1	6	261	261	LEMS	CTT150	*	1	*	48	*		 	2194	LEMS,CTT150,*,CL 1,*,48,*	45
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			19-JUN-26	19-JUN-26	1263	15491916	ENDULINI FRUIT (P	HL 	80	82089	24	80	0		1	6	261	261	LEMS	CTT150	*	1	*	162	*		 	1263	LEMS,CTT150,*,CL 1,*,162,*	45
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			19-JUN-26	19-JUN-26	991	15491915	ENDULINI FRUIT (P	HL 	275	82089	24	275	0		1	6	261	261	LEMS	CTT150	*	1	*	48	*		 	991	LEMS,CTT150,*,CL 1,*,48,*	45
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			08-JUL-26	08-JUL-26	8866	15523864	ENDULINI FRUIT (P	HL 	78	82089	24	78	0		1	6	261	261	LEMS	CTT150	*	12	*	75	*		 	8866	LEMS,CTT150,*,LOWEST CLASS,*,75,*	25
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			08-JUL-26	08-JUL-26	8863	15523854	ENDULINI FRUIT (P	HL 	16	82089	24	16	0		1	6	261	261	LEMS	CTT150	*	12	*	88	*		 	8863	LEMS,CTT150,*,LOWEST CLASS,*,88,*	25
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			02-AUG-26	02-AUG-26	4587	15567455	ENDULINI FRUIT (P	HL 	104	82089	24	104	0		1	6	261	261	NAAR	CO100	Q2	1	1X	*	*		 	4587	NAAR,CO100,Q2,CL 1,1X,*,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			02-AUG-26	02-AUG-26	8358	15567459	ENDULINI FRUIT (P	HL 	104	82089	24	104	0		1	6	261	261	NAAR	CO100	Q2	1	1	*	*		 	8358	NAAR,CO100,Q2,CL 1,1,*,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			02-AUG-26	02-AUG-26	8104	15567450	ENDULINI FRUIT (P	HL 	455	82089	24	455	0		1	6	261	261	NAAR	CO150	Q2	1	2X	*	*		 	8104	NAAR,CO150,Q2,CL 1,2X,*,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			02-AUG-26	02-AUG-26	3159	15567447	ENDULINI FRUIT (P	HL 	130	82089	24	130	0		1	6	261	261	NAAR	CO150	Q2	1	3X	*	*		 	3159	NAAR,CO150,Q2,CL 1,3X,*,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			02-AUG-26	02-AUG-26	8243	15567452	ENDULINI FRUIT (P	HL 	260	82089	24	260	0		1	6	261	261	NAAR	CO150	Q2	1	4X	*	*		 	8243	NAAR,CO150,Q2,CL 1,4X,*,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			13-JUL-26	13-JUL-26	7270	15528992	ENDULINI FRUIT (P	HL 	103	82089	24	103	0		1	6	261	261	NOVA	CO150	*	2	2X	*	*		 	7270	NOVA,CO150,*,CL 2,2X,*,*	21
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			24-JUL-26	24-JUL-26	7040	15552351	ENDULINI FRUIT (P	HL 	1764	82089	24	1764	0		1	6	261	261	ORGS	PC060	NV	2	L	*	*		 	7040	ORGS,PC060,NV,CL 2,L,*,*	9
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			02-AUG-26	02-AUG-26	3346	15567322	ENDULINI FRUIT (P	HL 	560	82089	24	560	0		1	6	261	261	ORGS	PC100	NV	2	XL	*	*		 	3346	ORGS,PC100,NV,CL 2,XL,*,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			16-JUL-26	16-JUL-26	4935	15540111	ENDULINI FRUIT (P	HL 	187	82089	24	187	0		1	6	261	261	ORGS	PC060	NV	2	XL	*	*		 	4935	ORGS,PC060,NV,CL 2,XL,*,*	17
