TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			02-JUN-26	02-JUN-26	4908	15461961	BLYDEVALLEI SITRU	HL 	504	80399	24	504	0		1	6	261	261	NAAR	CO100	HM	1	3X	*	*		 	4908	NAAR,CO100,HM,CL 1,3X,*,*	63
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			13-JUL-26	13-JUL-26	8713	15531443	CONLINK TRUST	HL 	705	80399	24	705	0		1	6	261	261	AVOS	TR040	AK	1	*	20	*		 	8713	AVOS,TR040,AK,CL 1,*,20,*	21
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			13-JUL-26	13-JUL-26	8708	15531435	CONLINK TRUST	HL 	102	80399	24	102	0		1	6	261	261	AVOS	TR040	AK	1	*	18	*		 	8708	AVOS,TR040,AK,CL 1,*,18,*	21
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			26-MAY-26	26-MAY-26	4151	15448009	DELTA FRESH PRODU	HL 	238	80399	24	238	0		1	6	261	261	NAAR	CO100	LR	1	1XXX	*	*		 	4151	NAAR,CO100,LR,CL 1,1XXX,*,*	69
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			26-MAY-26	26-MAY-26	4227	15448011	DELTA FRESH PRODU	HL 	97	80399	24	97	0		1	6	261	261	NAAR	CO150	LR	1	1XXX	*	*		 	4227	NAAR,CO150,LR,CL 1,1XXX,*,*	69
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-MAY-26	29-MAY-26	6775	15455328	ENDULINI FRUIT (P	HL 	22	80399	24	22	0		1	6	261	261	CLTM	CO100	*	1	1	*	*		 	6775	CLTM,CO100,*,CL 1,1,*,*	67
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-MAY-26	29-MAY-26	6798	15455331	ENDULINI FRUIT (P	HL 	514	80399	24	514	0		1	6	261	261	CLTM	CO100	*	1	1XXX	*	*		 	6798	CLTM,CO100,*,CL 1,1XXX,*,*	67
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			13-JUL-26	13-JUL-26	7180	15528954	ENDULINI FRUIT (P	HL 	78	80399	24	78	0		1	6	261	261	LEMS	CTT150	*	12	*	138	*		 	7180	LEMS,CTT150,*,LOWEST CLASS,*,138,*	22
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			13-JUL-26	13-JUL-26	7161	15528953	ENDULINI FRUIT (P	HL 	76	80399	24	76	0		1	6	261	261	LEMS	CTT150	*	12	*	113	*		 	7161	LEMS,CTT150,*,LOWEST CLASS,*,113,*	22
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			13-JUL-26	13-JUL-26	7193	15528962	ENDULINI FRUIT (P	HL 	80	80399	24	80	0		1	6	261	261	LEMS	CTT150	*	12	*	88	*		 	7193	LEMS,CTT150,*,LOWEST CLASS,*,88,*	22
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			02-AUG-26	02-AUG-26	6805	15567284	ENDULINI FRUIT (P	HL 	400	80399	24	400	0		1	6	261	261	LEMS	CTT150	*	1	*	56	*		 	6805	LEMS,CTT150,*,CL 1,*,56,*	1
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-JUL-26	29-JUL-26	4293	15561220	ENDULINI FRUIT (P	HL 	80	80399	24	80	0		1	6	261	261	LEMS	CTT150	*	2	*	56	*		 	4293	LEMS,CTT150,*,CL 2,*,56,*	5
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			15-JUL-26	15-JUL-26	1917	15535536	ENDULINI FRUIT (P	HL 	240	80399	24	240	0		1	6	261	261	LEMS	CTT150	*	2	*	100	*		 	1917	LEMS,CTT150,*,CL 2,*,100,*	20
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-JUL-26	29-JUL-26	8202	15561238	ENDULINI FRUIT (P	HL 	208	80399	24	208	0		1	6	261	261	NAAR	CO100	NV	1	2	*	*		 	8202	NAAR,CO100,NV,CL 1,2,*,*	5
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-JUL-26	29-JUL-26	8557	15561354	ENDULINI FRUIT (P	HL 	104	80399	24	104	0		1	6	261	261	NAAR	CO100	Q2	1	1X	*	*		 	8557	NAAR,CO100,Q2,CL 1,1X,*,*	6
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-JUL-26	29-JUL-26	5191	15561233	ENDULINI FRUIT (P	HL 	65	80399	24	65	0		1	6	261	261	NAAR	CO150	Q2	1	*	*	*		 	5191	NAAR,CO150,Q2,CL 1,*,*,*	5
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-JUL-26	29-JUL-26	8556	15561348	ENDULINI FRUIT (P	HL 	208	80399	24	208	0		1	6	261	261	NAAR	CO100	Q2	1	1	*	*		 	8556	NAAR,CO100,Q2,CL 1,1,*,*	6
