TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	RIAAN  JOUBERT			15-JUL-26	15-JUL-26		15534098	KOMATI FRUITS ( P	AC 	110	141623	24	110	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	56	*		*		ORGS,CTT150,NV,CL 1,*,56,*	19
R S A MARKET AGENTS	RIAAN  JOUBERT			15-JUL-26	15-JUL-26		15534098	KOMATI FRUITS ( P	AC 	690	141623	24	690	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	56	*		*		ORGS,CTT150,NV,CL 1,*,56,*	19
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26		15529487	KOMATI FRUITS ( P	AC 	80	141623	24	80	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	105	*		*		ORGS,CTT150,NV,CL 1,*,105,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			13-JUL-26	13-JUL-26		15531526	KOMATI FRUITS ( P	AC 	240	141623	24	240	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	56	*		*		ORGS,CTT150,NV,CL 1,*,56,*	20
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26		15540194	KOMATI FRUITS ( P	AC 	240	141623	24	240	0	261	1	2	45	45	ORGS	CTT150	NV	2	*	56	*		*		ORGS,CTT150,NV,CL 2,*,56,*	16
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26		15540209	KOMATI FRUITS ( P	AC 	80	141623	24	80	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	56	*		*		ORGS,CTT150,NV,CL 1,*,56,*	16
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26		15529515	KOMATI FRUITS ( P	AC 	240	141623	24	240	0	261	1	2	45	45	ORGS	CTT150	NV	2	*	56	*		*		ORGS,CTT150,NV,CL 2,*,56,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26		15529538	KOMATI FRUITS ( P	AC 	240	141623	24	240	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	56	*		*		ORGS,CTT150,NV,CL 1,*,56,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			15-JUL-26	15-JUL-26		15534099	KOMATI FRUITS ( P	AC 	480	141623	24	480	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	64	*		*		ORGS,CTT150,NV,CL 1,*,64,*	19
R S A MARKET AGENTS	RIAAN  JOUBERT			13-JUL-26	13-JUL-26		15531530	KOMATI FRUITS ( P	AC 	560	141623	24	560	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	64	*		*		ORGS,CTT150,NV,CL 1,*,64,*	20
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26		15546489	KOMATI FRUITS ( P	AC 	80	141623	24	80	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	64	*		*		ORGS,CTT150,NV,CL 1,*,64,*	12
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26		15546496	KOMATI FRUITS ( P	AC 	80	141623	24	80	0	261	1	2	45	45	ORGS	CTT150	NV	2	*	64	*		*		ORGS,CTT150,NV,CL 2,*,64,*	12
R S A MARKET AGENTS	RIAAN  JOUBERT			15-JUL-26	15-JUL-26		15534100	KOMATI FRUITS ( P	AC 	400	141623	24	400	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	72	*		*		ORGS,CTT150,NV,CL 1,*,72,*	19
R S A MARKET AGENTS	RIAAN  JOUBERT			13-JUL-26	13-JUL-26		15531534	KOMATI FRUITS ( P	AC 	720	141623	24	720	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	72	*		*		ORGS,CTT150,NV,CL 1,*,72,*	20
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26		15546503	KOMATI FRUITS ( P	AC 	320	141623	24	320	0	261	1	2	45	45	ORGS	CTT150	NV	2	*	72	*		*		ORGS,CTT150,NV,CL 2,*,72,*	12
R S A MARKET AGENTS	RIAAN  JOUBERT			14-JUL-26	14-JUL-26		15533743	KOMATI FRUITS ( P	AC 	160	141623	24	160	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	88	*		*		ORGS,CTT150,NV,CL 1,*,88,*	20
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26		15546492	KOMATI FRUITS ( P	AC 	160	141623	24	160	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	88	*		*		ORGS,CTT150,NV,CL 1,*,88,*	12
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26		15546505	KOMATI FRUITS ( P	AC 	80	141623	24	80	0	261	1	2	45	45	ORGS	CTT150	NV	2	*	88	*		*		ORGS,CTT150,NV,CL 2,*,88,*	12
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26		15540200	KOMATI FRUITS ( P	AC 	400	141623	24	400	0	261	1	2	45	45	ORGS	CTT150	NV	1	*	88	*		*		ORGS,CTT150,NV,CL 1,*,88,*	16
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26		15546495	KOMATI FRUITS ( P	AC 	80	141623	24	80	0	261	1	2	45	45	ORGS	CTT150	NV	2	*	105	*		*		ORGS,CTT150,NV,CL 2,*,105,*	12
R S A MARKET AGENTS	RIAAN  JOUBERT			08-JUL-26	08-JUL-26	8408	15523834	ENDULINI FRUIT (P	HL 	160	141623	24	160	0		1	6	261	261	LEMS	CTT150	*	12	*	56	*		 	8408	LEMS,CTT150,*,LOWEST CLASS,*,56,*	25
R S A MARKET AGENTS	RIAAN  JOUBERT			08-JUL-26	08-JUL-26	8154	15523829	ENDULINI FRUIT (P	HL 	319	141623	24	319	0		1	6	261	261	LEMS	CTT150	*	12	*	64	*		 	8154	LEMS,CTT150,*,LOWEST CLASS,*,64,*	25
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	796	15552559	KAMBO FOREST HILL	HL 	46	141623	24	46	0		1	6	261	261	APP	CT185	GS	1	*	110	*		*	796	APP,CT185,GS,CL 1,*,110,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	2559	15552546	KAMBO FOREST HILL	HL 	77	141623	24	77	0		1	6	261	261	APP	CT185	GS	1	*	90	*		 	2559	APP,CT185,GS,CL 1,*,90,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	7829	15552589	KAMBO FOREST HILL	HL 	8	141623	24	8	0		1	6	261	261	APP	EPB015	GD	1	165	8	*		 	7829	APP,EPB015,GD,CL 1,165,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	4554	15552615	KAMBO FOREST HILL	HL 	46	141623	24	46	0		1	6	261	261	APP	EPB015	SK	1	150	8	*		 	4554	APP,EPB015,SK,CL 1,150,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	7872	15552619	KAMBO FOREST HILL	HL 	43	141623	24	43	0		1	6	261	261	APP	EPB015	TR	1	150	8	*		 	7872	APP,EPB015,TR,CL 1,150,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	5196	15552616	KAMBO FOREST HILL	HL 	17	141623	24	17	0		1	6	261	261	APP	EPB015	SK	1	120	8	*		 	5196	APP,EPB015,SK,CL 1,120,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	1891	15552618	KAMBO FOREST HILL	HL 	8	141623	24	8	0		1	6	261	261	APP	EPB015	TR	1	120	8	*		 	1891	APP,EPB015,TR,CL 1,120,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	7859	15552617	KAMBO FOREST HILL	HL 	40	141623	24	40	0		1	6	261	261	APP	EPB015	SK	1	135	8	*		 	7859	APP,EPB015,SK,CL 1,135,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	7812	15552578	KAMBO FOREST HILL	HL 	37	141623	24	37	0		1	6	261	261	APP	EPB015	GD	1	180	8	*		 	7812	APP,EPB015,GD,CL 1,180,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	2433	15552602	KAMBO FOREST HILL	HL 	26	141623	24	26	0		1	6	261	261	APP	EPB015	SK	1	180	8	*		*	2433	APP,EPB015,SK,CL 1,180,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	7700	15552620	KAMBO FOREST HILL	HL 	57	141623	24	57	0		1	6	261	261	APP	EPB015	TR	1	180	8	*		 	7700	APP,EPB015,TR,CL 1,180,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	3156	15552592	KAMBO FOREST HILL	HL 	35	141623	24	35	0		1	6	261	261	APP	EPB015	GD	1	198	8	*		 	3156	APP,EPB015,GD,CL 1,198,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	663	15552609	KAMBO FOREST HILL	HL 	71	141623	24	71	0	431	1	6	261	261	APP	EPB015	SK	1	198	8	*		 	663	APP,EPB015,SK,CL 1,198,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			24-JUL-26	24-JUL-26	4273	15552623	KAMBO FOREST HILL	HL 	28	141623	24	28	0		1	6	261	261	APP	EPB015	TR	1	198	8	*		 	4273	APP,EPB015,TR,CL 1,198,8,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	2908	15566076	KOMATI FRUITS ( P	HL 	65	141623	24	65	0		1	6	261	261	GFT	CO150	JS	1	*	64	*		 	2908	GFT,CO150,JS,CL 1,*,64,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	3344	15566083	KOMATI FRUITS ( P	HL 	325	141623	24	325	0		1	6	261	261	GFT	CO150	JS	1	*	72	*		 	3344	GFT,CO150,JS,CL 1,*,72,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	8859	15566035	KOMATI FRUITS ( P	HL 	65	141623	24	65	0		1	6	261	261	GFT	CO150	JS	1	*	96	*		 	8859	GFT,CO150,JS,CL 1,*,96,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	7124	15566079	KOMATI FRUITS ( P	HL 	130	141623	24	130	0		1	6	261	261	GFT	CO150	JS	1	*	64	*		 	7124	GFT,CO150,JS,CL 1,*,64,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			31-JUL-26	31-JUL-26	2957	15566071	KOMATI FRUITS ( P	HL 	65	141623	24	65	0		1	6	261	261	GFT	CO150	JS	1	*	96	*		 	2957	GFT,CO150,JS,CL 1,*,96,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			10-MAY-26	10-MAY-26	7447	15416273	KOMATI FRUITS ( P	HL 	14	141623	24	14	0		1	6	261	261	LEMS	CTT150	*	1	*	100	*		 	7447	LEMS,CTT150,*,CL 1,*,100,*	85
R S A MARKET AGENTS	RIAAN  JOUBERT			01-MAY-26	01-MAY-26	4810	15400098	KOMATI FRUITS ( P	HL 	146	141623	24	146	0		1	6	261	261	LEMS	CTT150	*	1	*	56	*		 	4810	LEMS,CTT150,*,CL 1,*,56,*	94
R S A MARKET AGENTS	RIAAN  JOUBERT			16-MAY-26	16-MAY-26	538	15429353	KOMATI FRUITS ( P	HL 	229	141623	24	229	0		1	6	261	261	LEMS	CTT150	*	1	*	113	*		 	538	LEMS,CTT150,*,CL 1,*,113,*	79
R S A MARKET AGENTS	RIAAN  JOUBERT			28-MAY-26	28-MAY-26	3714	15453386	KOMATI FRUITS ( P	HL 	245	141623	24	245	0		1	6	261	261	LEMS	JP090	*	2	M	*	*		 	3714	LEMS,JP090,*,CL 2,M,*,*	67
