TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	1796	15577136	A M MULLER EN SEU	HL 	64	82089	24	64	0		1	6	261	261	AVOS	SP180	AK	2	*	*	*		 	1796	AVOS,SP180,AK,CL 2,*,*,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	5114	15577132	A M MULLER EN SEU	HL 	1	82089	24	1	0		1	6	261	261	AVOS	TR040	AH	1	*	18	*		 	5114	AVOS,TR040,AH,CL 1,*,18,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	4702	15577212	ALLEBESTE BEMARKI	HL 	8	82089	24	8	0		1	6	261	261	AVOS	TR040	MA	1	*	24	*		 	4702	AVOS,TR040,MA,CL 1,*,24,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	4124	15577210	ALLEBESTE BEMARKI	HL 	1	82089	24	1	0		1	6	261	261	AVOS	TR040	MA	1	*	24	*		 	4124	AVOS,TR040,MA,CL 1,*,24,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	4711	15577214	ALLEBESTE BEMARKI	HL 	87	82089	24	87	0		1	6	261	261	AVOS	TR040	AH	1	*	22	*		 	4711	AVOS,TR040,AH,CL 1,*,22,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	4776	15577220	ALLEBESTE BEMARKI	HL 	14	82089	24	14	0		1	6	261	261	AVOS	TR040	MA	1	*	22	*		 	4776	AVOS,TR040,MA,CL 1,*,22,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	4737	15577216	ALLEBESTE BEMARKI	HL 	7	82089	24	7	0		1	6	261	261	AVOS	TR040	AH	1	*	24	*		 	4737	AVOS,TR040,AH,CL 1,*,24,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	2161	15577203	ALLEBESTE BEMARKI	HL 	8	82089	24	8	0		1	6	261	261	AVOS	TR040	AH	1	*	24	*		 	2161	AVOS,TR040,AH,CL 1,*,24,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	4763	15577218	ALLEBESTE BEMARKI	HL 	7	82089	24	7	0		1	6	261	261	AVOS	TR040	MA	1	*	20	*		 	4763	AVOS,TR040,MA,CL 1,*,20,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	1691	15577202	ALLEBESTE BEMARKI	HL 	7	82089	24	7	0		1	6	261	261	AVOS	TR040	MA	1	*	8	*		 	1691	AVOS,TR040,MA,CL 1,*,8,*	6
