TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			02-JUN-26	02-JUN-26	4908	15461961	BLYDEVALLEI SITRU	HL 	504	80399	24	504	0		1	6	261	261	NAAR	CO100	HM	1	3X	*	*		 	4908	NAAR,CO100,HM,CL 1,3X,*,*	72
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			12-AUG-26	12-AUG-26	8097	15585959	BLYDEVALLEI SITRU	HL 	1300	80399	24	1300	0		1	6	261	261	ORGS	CO150	MN	1	*	50	*		 	8097	ORGS,CO150,MN,CL 1,*,50,*	1
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			12-AUG-26	12-AUG-26	8098	15585964	BLYDEVALLEI SITRU	HL 	390	80399	24	390	0		1	6	261	261	ORGS	CO150	MN	1	*	55	*		 	8098	ORGS,CO150,MN,CL 1,*,55,*	1
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			13-JUL-26	13-JUL-26	3643	15531443	CONLINK TRUST	HL 	12	80399	24	12	0	1035	1	6	261	261	AVOS	TR040	AK	1	*	20	*		 	3643	AVOS,TR040,AK,CL 1,*,20,*	31
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			26-MAY-26	26-MAY-26	4151	15448009	DELTA FRESH PRODU	HL 	140	80399	24	140	0		1	6	261	261	NAAR	CO100	LR	1	1XXX	*	*		 	4151	NAAR,CO100,LR,CL 1,1XXX,*,*	79
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			29-MAY-26	29-MAY-26	6798	15455331	ENDULINI FRUIT (P	HL 	162	80399	24	162	0		1	6	261	261	CLTM	CO100	*	1	1XXX	*	*		 	6798	CLTM,CO100,*,CL 1,1XXX,*,*	76
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			02-AUG-26	02-AUG-26	299	15567284	ENDULINI FRUIT (P	HL 	80	80399	24	80	0	430	1	6	261	261	LEMS	CTT150	*	1	*	56	*		 	299	LEMS,CTT150,*,CL 1,*,56,*	10
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			02-AUG-26	02-AUG-26	2640	15567284	ENDULINI FRUIT (P	HL 	80	80399	24	80	0	430	1	6	261	261	LEMS	CTT150	*	1	*	56	*		 	2640	LEMS,CTT150,*,CL 1,*,56,*	10
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			15-JUL-26	15-JUL-26	1917	15535536	ENDULINI FRUIT (P	HL 	240	80399	24	240	0		1	6	261	261	LEMS	CTT150	*	2	*	100	*		 	1917	LEMS,CTT150,*,CL 2,*,100,*	29
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			13-JUL-26	13-JUL-26	7180	15528954	ENDULINI FRUIT (P	HL 	78	80399	24	78	0		1	6	261	261	LEMS	CTT150	*	12	*	138	*		 	7180	LEMS,CTT150,*,LOWEST CLASS,*,138,*	31
R S A MARKET AGENTS	GEORGE PHILLIP  POTGIETER			13-JUL-26	13-JUL-26	7161	15528953	ENDULINI FRUIT (P	HL 	76	80399	24	76	0		1	6	261	261	LEMS	CTT150	*	12	*	113	*		 	7161	LEMS,CTT150,*,LOWEST CLASS,*,113,*	31
